Audible_Title,Audible_Author,Goodreads_Link
The Authenticity Project,Clare Pooley,https://www.goodreads.com/book/show/55789067-the-authenticity-project?from_search=true&from_srp=true&qid=KI07BV7RXl&rank=1
A Single Thread,Tracy Chevalier,https://www.goodreads.com/book/show/43943459-a-single-thread?from_search=true&from_srp=true&qid=Baqj1TsSsY&rank=1
Sparks Like Stars,Nadia Hashimi,https://www.goodreads.com/book/show/53746807-sparks-like-stars?from_search=true&from_srp=true&qid=fTMoEfBJup&rank=1
Interior Chinatown,Charles Yu,https://www.goodreads.com/book/show/44436221-interior-chinatown?from_search=true&from_srp=true&qid=MkY2DeDhMs&rank=1
A Summer in Sonoma,Robyn Carr,https://www.goodreads.com/book/show/7624133-a-summer-in-sonoma?from_search=true&from_srp=true&qid=D0ymhQyJhG&rank=1
Plain Bad Heroines,Emily M. Danforth,https://www.goodreads.com/book/show/50496875-plain-bad-heroines?from_search=true&from_srp=true&qid=ibiCqnGY1c&rank=1
The Ex Talk,Rachel Lynn Solomon,https://www.goodreads.com/book/show/53415121-the-ex-talk?from_search=true&from_srp=true&qid=ZQMig1xNpj&rank=1
Devils,Fyodor Dostoevsky,https://www.goodreads.com/book/show/3090348-devils?from_search=true&from_srp=true&qid=QcIOWH1UkL&rank=2
Tai-Pan,James Clavell,https://www.goodreads.com/book/show/42933.Tai_Pan?from_search=true&from_srp=true&qid=qYOfk2pQMC&rank=3
The Lost Orphan,Stacey Halls,https://www.goodreads.com/book/show/45422548-the-lost-orphan?from_search=true&from_srp=true&qid=WUXmbmxRsv&rank=1
Roommates Wanted,Lisa Jewell,https://www.goodreads.com/book/show/1549933.Roommates_Wanted?from_search=true&from_srp=true&qid=wRMbuHxvdr&rank=1
The Unexpected Inheritance of Inspector Chopra,Vaseem Khan,https://www.goodreads.com/book/show/24717411-the-unexpected-inheritance-of-inspector-chopra?from_search=true&from_srp=true&qid=FmvyCmOylE&rank=1
Meet Me at the Cupcake Cafe,Jenny Colgan,https://www.goodreads.com/book/show/10134852-meet-me-at-the-cupcake-caf?from_search=true&from_srp=true&qid=6yPZUXuUef&rank=1
The Prophets,Robert Jones Jr.,https://www.goodreads.com/book/show/52576333-the-prophets?from_search=true&from_srp=true&qid=8CAgyqMBW2&rank=1
Galapagos,Kurt Vonnegut,https://www.goodreads.com/book/show/9934441-galapagos?from_search=true&from_srp=true&qid=JmvaaSU2yT&rank=3
Summer Island,Kristin Hannah,https://www.goodreads.com/book/show/40389026-summer-island?from_search=true&from_srp=true&qid=bSboyMhIo9&rank=1
Robinson Crusoe,Daniel Defoe,https://www.goodreads.com/book/show/2932.Robinson_Crusoe?from_search=true&from_srp=true&qid=RECLzHrfSI&rank=16
Slay,Brittney Morris,https://www.goodreads.com/book/show/43723509-slay?from_search=true&from_srp=true&qid=3igrAD36bh&rank=1
No One Is Talking About This,Patricia Lockwood,https://www.goodreads.com/book/show/53733106-no-one-is-talking-about-this?from_search=true&from_srp=true&qid=jv1KbdUeaU&rank=1
Great Expectations,Charles Dickens,https://www.goodreads.com/book/show/1781022.Great_Expectations_by_Charles_Dickens_Fiction_Classics?from_search=true&from_srp=true&qid=ubinUTFTRo&rank=4
The Best of Us,Robyn Carr,https://www.goodreads.com/book/show/40244951-the-best-of-us?from_search=true&from_srp=true&qid=viT8NFDXGO&rank=1
The Incredible Winston Browne,Sean Dietrich,https://www.goodreads.com/book/show/52610674-the-incredible-winston-browne?from_search=true&from_srp=true&qid=eoxyk4TZPd&rank=1
Summer by the Sea,Susan Wiggs,https://www.goodreads.com/book/show/120069.Summer_by_the_Sea?from_search=true&from_srp=true&qid=qA3b1MSUxK&rank=2
My Year Abroad,Chang-rae Lee,https://www.goodreads.com/book/show/55333981-my-year-abroad?from_search=true&from_srp=true&qid=uYPNeaBWMJ&rank=1
One Tuesday Morning,Karen Kingsbury,https://www.goodreads.com/book/show/97862.One_Tuesday_Morning?from_search=true&from_srp=true&qid=ghZLsdKjYo&rank=1
The Restoration of Celia Fairchild,Marie Bostwick,https://www.goodreads.com/book/show/53914958-the-restoration-of-celia-fairchild?from_search=true&from_srp=true&qid=QDu8c2Rtuk&rank=1
Mind Tryst,Robyn Carr,https://www.goodreads.com/book/show/19241348-mind-tryst?from_search=true&from_srp=true&qid=eyP1D7b32e&rank=1
The Girl in the Garden,Kamala Nair,https://www.goodreads.com/book/show/9632886-the-girl-in-the-garden?from_search=true&from_srp=true&qid=Z7dMvH0NoV&rank=1
The Picture of Dorian Gray,Oscar Wilde,https://www.goodreads.com/book/show/58207214-the-picture-of-dorian-gray-by-oscar-wilde?from_search=true&from_srp=true&qid=xctGfDiNUn&rank=12
Lunch with Buddha,Roland Merullo,https://www.goodreads.com/book/show/16069313-lunch-with-buddha?from_search=true&from_srp=true&qid=cDlxV3ltP9&rank=1
Little Women,Louisa May Alcott,https://www.goodreads.com/book/show/2743418-little-women-louisa-may-alcott?from_search=true&from_srp=true&qid=l4tJmfZu2l&rank=5
The Mistress,Danielle Steel,https://www.goodreads.com/book/show/29974914-the-mistress?from_search=true&from_srp=true&qid=LuuUE8xcGf&rank=1
Utopia Avenue,David Mitchell,https://www.goodreads.com/book/show/52597312-utopia-avenue?from_search=true&from_srp=true&qid=lVMkJvnup9&rank=1
"God, No!",Penn Jillette,https://www.goodreads.com/book/show/8495145-god-no-signs-you-may-already-be-an-atheist-and-other-magical-tales?from_search=true&from_srp=true&qid=guIdtkINGs&rank=1
Say Goodbye for Now,Catherine Ryan Hyde,https://www.goodreads.com/book/show/30184217-say-goodbye-for-now?from_search=true&from_srp=true&qid=dklHVqVqlr&rank=1
Plainsong,Kent Haruf,https://www.goodreads.com/book/show/77156.Plainsong?from_search=true&from_srp=true&qid=RKEGD9gLra&rank=3
The Prisoner's Wife,Maggie Brookes,https://www.goodreads.com/book/show/50368444-the-prisoner-s-wife?from_search=true&from_srp=true&qid=1UXvw8hhyQ&rank=1
The Bitter and Sweet of Cherry Season,Molly Fader,https://www.goodreads.com/book/show/49978131-the-bitter-and-sweet-of-cherry-season?from_search=true&from_srp=true&qid=Hy8Lpr6tiA&rank=1
Sunrise by the Sea,Jenny Colgan,https://www.goodreads.com/book/show/55276595-sunrise-by-the-sea?from_search=true&from_srp=true&qid=SY8sx5uCAa&rank=1
On the Beach,Nevil Shute,https://www.goodreads.com/book/show/38180.On_the_Beach?from_search=true&from_srp=true&qid=RlCaJjtx3z&rank=2
We Run the Tides,Vendela Vida,https://www.goodreads.com/book/show/53402121-we-run-the-tides?from_search=true&from_srp=true&qid=71BI3zgpkr&rank=1
Dancing at the Rascal Fair,Ivan Doig,https://www.goodreads.com/book/show/122311.Dancing_at_the_Rascal_Fair?from_search=true&from_srp=true&qid=4hsdiuhnIG&rank=2
A Dog's Way Home,W. Bruce Cameron,https://www.goodreads.com/book/show/35130968-a-dog-s-way-home?from_search=true&from_srp=true&qid=qCQzLY7Wfu&rank=3
Killing Rommel,Steven Pressfield,https://www.goodreads.com/book/show/1536419.Killing_Rommel?from_search=true&from_srp=true&qid=m7MMgmVly2&rank=1
Nocturnes,Kazuo Ishiguro,https://www.goodreads.com/book/show/4772110-nocturnes?from_search=true&from_srp=true&qid=PHm65MvKXL&rank=1
The Railway Children,E. Nesbit,https://www.goodreads.com/book/show/164531.The_Railway_Children?from_search=true&from_srp=true&qid=imtAdfHNhv&rank=1
Falling Home,Karen White,https://www.goodreads.com/book/show/9954179-falling-home?from_search=true&from_srp=true&qid=6J9TUGMd3h&rank=1
Musical Chairs,Amy Poeppel,https://www.goodreads.com/book/show/52753733-musical-chairs?from_search=true&from_srp=true&qid=EOQhpo3dLl&rank=1
And They Called It Camelot,Stephanie Marie Thornton,https://www.goodreads.com/book/show/52198084-and-they-called-it-camelot?from_search=true&from_srp=true&qid=MZuDARBmdL&rank=1
The Memory Collectors,Kim Neville,https://www.goodreads.com/book/show/54303938-the-memory-collectors?from_search=true&from_srp=true&qid=JoiEM57S76&rank=1
The Removed,Brandon Hobson,https://www.goodreads.com/book/show/53441181-the-removed?from_search=true&from_srp=true&qid=0ahU2Hew73&rank=1
Silent Night,Danielle Steel,https://www.goodreads.com/book/show/40655468-silent-night?from_search=true&from_srp=true&qid=C7ytTStWjF&rank=1
True Devotion,Dee Henderson,https://www.goodreads.com/book/show/359455.True_Devotion?from_search=true&from_srp=true&qid=Ilyub3zqkB&rank=1
Maggie,Charles Martin,https://www.goodreads.com/book/show/129562.Maggie?from_search=true&from_srp=true&qid=jPD0dGZxQ4&rank=1
Mutant Message Down Under,Marlo Morgan,https://www.goodreads.com/book/show/32349.Mutant_Message_Down_Under?from_search=true&from_srp=true&qid=WAzX5ZJUh3&rank=2
Meg and Jo,Virginia Kantra,https://www.goodreads.com/book/show/45899334-meg-and-jo?from_search=true&from_srp=true&qid=aPwdNO7F1j&rank=1
"Dear Haiti, Love Alaine","Maika Moulite, Maritza Moulite",https://www.goodreads.com/book/show/41861731-dear-haiti-love-alaine?from_search=true&from_srp=true&qid=5IJDZB7BsZ&rank=1
Saving Ruby King,Catherine Adel West,https://www.goodreads.com/book/show/44131181-saving-ruby-king?from_search=true&from_srp=true&qid=RIFkYkI4ev&rank=1
The Secrets of Love Story Bridge,Phaedra Patrick,https://www.goodreads.com/book/show/45422563-the-secrets-of-love-story-bridge?from_search=true&from_srp=true&qid=igf1tlkAS8&rank=1
The Other Windsor Girl,Georgie Blalock,https://www.goodreads.com/book/show/43884183-the-other-windsor-girl?from_search=true&from_srp=true&qid=y283elsYaT&rank=1
Ellie and the Harpmaker,Hazel Prior,https://www.goodreads.com/book/show/40611133-ellie-and-the-harpmaker?from_search=true&from_srp=true&qid=MuRPLPwdpt&rank=1
Dark Horses,Susan Mihalic,https://www.goodreads.com/book/show/50892208-dark-horses?from_search=true&from_srp=true&qid=bC6zo22Iet&rank=1
I Was Told It Would Get Easier,Abbi Waxman,https://www.goodreads.com/book/show/49348458-i-was-told-it-would-get-easier?from_search=true&from_srp=true&qid=EIXAcO3tVt&rank=1
"Black Girl, Call Home",Jasmine Mans,https://www.goodreads.com/book/show/54359466-black-girl-call-home?from_search=true&from_srp=true&qid=OcLG77mn3T&rank=1
The Silent Treatment,Abbie Greaves,https://www.goodreads.com/book/show/51194669-the-silent-treatment?from_search=true&from_srp=true&qid=hPCNtqNoel&rank=1
"White Rose, Black Forest",Eoin Dempsey,https://www.goodreads.com/book/show/35889209-white-rose-black-forest?from_search=true&from_srp=true&qid=rG9CNdZA5P&rank=1
Fake Accounts,Lauren Oyler,https://www.goodreads.com/book/show/45732027-fake-accounts?from_search=true&from_srp=true&qid=gIdfIKN2Jr&rank=1
Anne of Green Gables,L.M. Montgomery,https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables?from_search=true&from_srp=true&qid=vx3f8DgrJq&rank=1
The Good Soldier,Ford Madox Ford,https://www.goodreads.com/book/show/54641142-the-good-soldier-by-ford-madox-ford-the-fully-updated-annotated-edition?from_search=true&from_srp=true&qid=Fb1ulFWH3D&rank=13
The Jam and Jelly Nook,Amy Clipston,https://www.goodreads.com/book/show/54287614-the-jam-and-jelly-nook?from_search=true&from_srp=true&qid=gqm0EqXpXX&rank=1
The Unbreakables,Lisa Barr,https://www.goodreads.com/book/show/40535998-the-unbreakables?from_search=true&from_srp=true&qid=BNB3lwt8Np&rank=1
The Rock Hole,Reavis Z. Wortham,https://www.goodreads.com/book/show/51162559-the-rock-hole?from_search=true&from_srp=true&qid=6ocvq52UQV&rank=1
Your House Will Pay,Steph Cha,https://www.goodreads.com/book/show/43615778-your-house-will-pay?from_search=true&from_srp=true&qid=9u0OHSQIh5&rank=1
Of Literature and Lattes,Katherine Reay,https://www.goodreads.com/book/show/50162082-of-literature-and-lattes?from_search=true&from_srp=true&qid=nGzCgcB7LY&rank=1
Sophomores,Sean Desmond,https://www.goodreads.com/book/show/53330116-sophomores?from_search=true&from_srp=true&qid=bBNSLhpirK&rank=1
The Charmed Wife,Olga Grushin,https://www.goodreads.com/book/show/53231973-the-charmed-wife?from_search=true&from_srp=true&qid=lL8kCgsJKI&rank=1
Under the Rainbow,Celia Laskey,https://www.goodreads.com/book/show/51846014-under-the-rainbow?from_search=true&from_srp=true&qid=NPxp5B151Q&rank=1
The Unraveling of Cassidy Holmes,Elissa R. Sloan,https://www.goodreads.com/book/show/52163643-the-unraveling-of-cassidy-holmes?from_search=true&from_srp=true&qid=RWuSYfbZt1&rank=1
Sad Janet,Lucie Britsch,https://www.goodreads.com/book/show/48890204-sad-janet?from_search=true&from_srp=true&qid=0AiGFQ1tcQ&rank=1
The Orchard,David Hopen,https://www.goodreads.com/book/show/51475363-the-orchard?from_search=true&from_srp=true&qid=ESLUCfTjEh&rank=1
Cantoras,Carolina De Robertis,https://www.goodreads.com/book/show/43289181-cantoras?from_search=true&from_srp=true&qid=H7A4YlMN7G&rank=1
The Innocents,Michael Crummey,https://www.goodreads.com/book/show/44540158-the-innocents?from_search=true&from_srp=true&qid=hv2f1v5f3a&rank=1
The Swallows,Lisa Lutz,https://www.goodreads.com/book/show/43744294-the-swallows?from_search=true&from_srp=true&qid=7sNmkI9IPJ&rank=1
Cold Fire,Dean Koontz,https://www.goodreads.com/book/show/32442.Cold_Fire?from_search=true&from_srp=true&qid=v3RAdcbBxm&rank=3
Darkfall,Dean Koontz,https://www.goodreads.com/book/show/32456.Darkfall?from_search=true&from_srp=true&qid=JoItdf5J9C&rank=1
The End of Her,Shari Lapena,https://www.goodreads.com/book/show/49098281-the-end-of-her?from_search=true&from_srp=true&qid=AA2BTwH8IF&rank=1
Blood Hollow,William Kent Krueger,https://www.goodreads.com/book/show/211161.Blood_Hollow?from_search=true&from_srp=true&qid=bcu1vaPCcf&rank=2
The Other Side of Midnight,Simone St. James,https://www.goodreads.com/book/show/22467404-the-other-side-of-midnight?from_search=true&from_srp=true&qid=YT6OcPCT94&rank=1
Cause of Death,Patricia Cornwell,https://www.goodreads.com/book/show/6541.Cause_of_Death?from_search=true&from_srp=true&qid=OTlfBdyWXw&rank=1
For the Love of Mike,Rhys Bowen,https://www.goodreads.com/book/show/383513.For_the_Love_of_Mike?from_search=true&from_srp=true&qid=ShruNLbiaP&rank=1
Brownies and Broomsticks,Bailey Cates,https://www.goodreads.com/book/show/12035966-brownies-and-broomsticks?from_search=true&from_srp=true&qid=6ZHdttzFFk&rank=1
Fast Track,Julie Garwood,https://www.goodreads.com/book/show/18693854-fast-track?from_search=true&from_srp=true&qid=bp30tTZoKy&rank=1
No Fortunate Son,Brad Taylor,https://www.goodreads.com/book/show/22522168-no-fortunate-son?from_search=true&from_srp=true&qid=mnVq3KKgFf&rank=2
The Passengers,John Marrs,https://www.goodreads.com/book/show/40718386-the-passengers?from_search=true&from_srp=true&qid=M6DnZJgduD&rank=1
Haunted House,J.A. Konrath,https://www.goodreads.com/book/show/41955498-haunted-house?from_search=true&from_srp=true&qid=plBkBi2RW9&rank=3
Pride and Premeditation,Tirzah Price,https://www.goodreads.com/book/show/53914898-pride-and-premeditation?from_search=true&from_srp=true&qid=stqFlgEtVE&rank=1
The Secret of Chimneys & A Murder Is Announced,Agatha Christie,https://www.goodreads.com/book/show/16361.The_Secret_of_Chimneys?from_search=true&from_srp=true&qid=zxzEqtQ8Qe&rank=1
Three Missing Days,Colleen Coble,https://www.goodreads.com/book/show/54287700-three-missing-days?from_search=true&from_srp=true&qid=F6W1LbulZZ&rank=1
"Bruno, Chief of Police",Martin Walker,https://www.goodreads.com/book/show/3265305-bruno-chief-of-police?from_search=true&from_srp=true&qid=tVJHM1Yslm&rank=2
Enemy of Mine,Brad Taylor,https://www.goodreads.com/book/show/15806961-enemy-of-mine?from_search=true&from_srp=true&qid=8fPbXPeESO&rank=1
Sanibel Flats,Randy White,https://www.goodreads.com/book/show/93812.Sanibel_Flats?from_search=true&from_srp=true&qid=7dXbq8fhbo&rank=2
Sleeping with Strangers,Eric Jerome Dickey,https://www.goodreads.com/book/show/181404.Sleeping_with_Strangers?from_search=true&from_srp=true&qid=XS0KEBUOVN&rank=1
The Reef,Nora Roberts,https://www.goodreads.com/book/show/114143.The_Reef?from_search=true&from_srp=true&qid=H55mce3drU&rank=2
The Ideal Man,Julie Garwood,https://www.goodreads.com/book/show/9647908-the-ideal-man?from_search=true&from_srp=true&qid=epDiequwg1&rank=1
Mrs. Pollifax on the China Station,Dorothy Gilman,https://www.goodreads.com/book/show/149426.Mrs_Pollifax_on_the_China_Station?from_search=true&from_srp=true&qid=zCQ0EkdDTN&rank=1
Their Last Secret,Rick Mofina,https://www.goodreads.com/book/show/49093787-their-last-secret?from_search=true&from_srp=true&qid=hf10h66ePK&rank=1
The Woman I Was Before,Kerry Fisher,https://www.goodreads.com/book/show/43353827-the-woman-i-was-before?from_search=true&from_srp=true&qid=ZgcdjEfql0&rank=1
Don't Even Breathe,Keith Houghton,https://www.goodreads.com/book/show/49958807-don-t-even-breathe?from_search=true&from_srp=true&qid=vtVZiR9Flz&rank=1
The Third to Die,Allison Brennan,https://www.goodreads.com/book/show/46039026-the-third-to-die?from_search=true&from_srp=true&qid=jH4eVpqPVf&rank=1
Tonight I Said Goodbye,Michael Koryta,https://www.goodreads.com/book/show/424644.Tonight_I_Said_Goodbye?from_search=true&from_srp=true&qid=nvusuvVjyf&rank=1
The Summer House,"James Patterson, Brendan DuBois",https://www.goodreads.com/book/show/52588702-the-summer-house?from_search=true&from_srp=true&qid=LF6gXsHYzb&rank=1
Amid the Shadows,Michael C. Grumley,https://www.goodreads.com/book/show/22844518-amid-the-shadows?from_search=true&from_srp=true&qid=zUO0SjglB0&rank=1
Fortune Furlough,Jana DeLeon,https://www.goodreads.com/book/show/57351862-fortune-furlough?from_search=true&from_srp=true&qid=IaQxQCQVGw&rank=2
Rock Chick,Kristen Ashley,https://www.goodreads.com/book/show/6538757-rock-chick?from_search=true&from_srp=true&qid=h0rVhgIDzF&rank=1
A Case of Need,"Michael Crichton, Jeffery Hudson",https://www.goodreads.com/book/show/7663.A_Case_of_Need?from_search=true&from_srp=true&qid=2YyKqhXm3J&rank=1
Hunterâ€™s Way,Gerri Hill,https://www.goodreads.com/book/show/1125294.Hunter_s_Way?from_search=true&from_srp=true&qid=ahV7LwFUW4&rank=1
A Crooked Tree,Una Mannion,https://www.goodreads.com/book/show/54236137-a-crooked-tree?from_search=true&from_srp=true&qid=RBpoQnBNeY&rank=1
You Belong to Me,Karen Rose,https://www.goodreads.com/book/show/8697191-you-belong-to-me?from_search=true&from_srp=true&qid=BTcaE70rh5&rank=1
Shiver,Allie Reynolds,https://www.goodreads.com/book/show/55707640-shiver?from_search=true&from_srp=true&qid=MbHmNiCJyK&rank=1
The Deep,Alma Katsu,https://www.goodreads.com/book/show/46158562-the-deep?from_search=true&from_srp=true&qid=lNbET68EBD&rank=1
Island of the Mad,Laurie R. King,https://www.goodreads.com/book/show/36296239-island-of-the-mad?from_search=true&from_srp=true&qid=HLtD3sFPQl&rank=1
The Last to See Her,Courtney Evan Tate,https://www.goodreads.com/book/show/45422551-the-last-to-see-her?from_search=true&from_srp=true&qid=e1lUf0j9Pr&rank=1
Cold Harbor,Matthew FitzSimmons,https://www.goodreads.com/book/show/31697706-cold-harbor?from_search=true&from_srp=true&qid=rWffSdfwvd&rank=1
A Deadly Distance,L.T. Ryan,https://www.goodreads.com/book/show/30359750-a-deadly-distance?from_search=true&from_srp=true&qid=IyoWwCBq34&rank=1
The Bodies in the Library,Marty Wingate,https://www.goodreads.com/book/show/45141896-the-bodies-in-the-library?from_search=true&from_srp=true&qid=Ov60EvjqT2&rank=1
Blink of an Eye,"Roy Johansen, Iris Johansen",https://www.goodreads.com/book/show/53916166-blink-of-an-eye?from_search=true&from_srp=true&qid=0pRNIT9bOJ&rank=1
None Shall Sleep,Ellie Marney,https://www.goodreads.com/book/show/50358134-none-shall-sleep?from_search=true&from_srp=true&qid=Cus3Wfx6oU&rank=1
A Madness of Sunshine,Nalini Singh,https://www.goodreads.com/book/show/44525771-a-madness-of-sunshine?from_search=true&from_srp=true&qid=WyNYUITgcD&rank=1
First Cut,"Judy Melinek, T.J. Mitchell",https://www.goodreads.com/book/show/43986727-first-cut?from_search=true&from_srp=true&qid=KACUZZRP3m&rank=1
Do No Harm,Christina McDonald,https://www.goodreads.com/book/show/54304103-do-no-harm?from_search=true&from_srp=true&qid=nrcQGWfHRD&rank=1
The Glass Woman,Caroline Lea,https://www.goodreads.com/book/show/40917716-the-glass-woman?from_search=true&from_srp=true&qid=UmDi8N6Xhd&rank=1
A Test of Wills,Charles Todd,https://www.goodreads.com/book/show/129561.A_Test_of_Wills?from_search=true&from_srp=true&qid=mWl98IpDMZ&rank=1
Salvation Day,Kali Wallace,https://www.goodreads.com/book/show/39918548-salvation-day?from_search=true&from_srp=true&qid=jescMDyOwF&rank=1
The Punch Escrow,Tal M. Klein,https://www.goodreads.com/book/show/32446949-the-punch-escrow?from_search=true&from_srp=true&qid=CD7giILtRk&rank=1
The Favorite Daughter,Kaira Rouda,https://www.goodreads.com/book/show/39973248-the-favorite-daughter?from_search=true&from_srp=true&qid=y076wIucFO&rank=1
The Prized Girl,Amy K. Green,https://www.goodreads.com/book/show/43913930-the-prized-girl?from_search=true&from_srp=true&qid=CV3Bv4I3HX&rank=1
Bad Monkeys,Matt Ruff,https://www.goodreads.com/book/show/71845.Bad_Monkeys?from_search=true&from_srp=true&qid=bBUJAnIaCs&rank=1
The Kill Club,Wendy Heard,https://www.goodreads.com/book/show/43599925-the-kill-club?from_search=true&from_srp=true&qid=C7xpedhMVU&rank=1
The Dead of the Night,John Marsden,https://www.goodreads.com/book/show/71864.The_Dead_of_Night?from_search=true&from_srp=true&qid=WxPsjyHjbC&rank=2
The Homecoming,Alan Russell,https://www.goodreads.com/book/show/33630709-the-homecoming?from_search=true&from_srp=true&qid=bKNf8Qbzla&rank=1
Nordic Tales,Chronicle Books,https://www.goodreads.com/book/show/51068836-nordic-tales?from_search=true&from_srp=true&qid=bxXG38NYUS&rank=1
"Black Leopard, Red Wolf",Marlon James,https://www.goodreads.com/book/show/50608676-black-leopard-red-wolf?from_search=true&from_srp=true&qid=smdUt3OoYf&rank=2
The Bone Houses,Emily Lloyd-Jones,https://www.goodreads.com/book/show/36524503-the-bone-houses?from_search=true&from_srp=true&qid=xwfNliTza5&rank=1
Nemesis,Isaac Asimov,https://www.goodreads.com/book/show/302625.Nemesis?from_search=true&from_srp=true&qid=SSaJz7M0QQ&rank=1
Aftershocks,Marko Kloos,https://www.goodreads.com/book/show/41211815-aftershocks?from_search=true&from_srp=true&qid=t9ZEMfnnde&rank=1
The Legacy,R. A. Salvatore,https://www.goodreads.com/book/show/15981536-the-essential-novels?from_search=true&from_srp=true&qid=YEvINBYHaD&rank=14
Bearers of the Black Staff,Terry Brooks,https://www.goodreads.com/book/show/7302794-bearers-of-the-black-staff?from_search=true&from_srp=true&qid=1QSXcK7K2X&rank=1
Ecstasy,Jacquelyn Frank,https://www.goodreads.com/book/show/4071860-ecstasy?from_search=true&from_srp=true&qid=J7W0xkKViN&rank=1
Polgara the Sorceress,"Leigh Eddings, David Eddings",https://www.goodreads.com/book/show/18884.Polgara_the_Sorceress?from_search=true&from_srp=true&qid=hi590Wc65k&rank=1
My Life as a White Trash Zombie,Diana Rowland,https://www.goodreads.com/book/show/9640626-my-life-as-a-white-trash-zombie?from_search=true&from_srp=true&qid=Xlr3mdHqzi&rank=1
Magician: Master,Raymond E. Feist,https://www.goodreads.com/book/show/13810.Magician?from_search=true&from_srp=true&qid=cJAaagI1YT&rank=4
Thirteenth Child,Patricia C. Wrede,https://www.goodreads.com/book/show/5797595-thirteenth-child?from_search=true&from_srp=true&qid=egL8EZCCNl&rank=1
The Bone Ships,RJ Barker,https://www.goodreads.com/book/show/43521682-the-bone-ships?from_search=true&from_srp=true&qid=iFhvsB3Bkc&rank=1
Thinblade,David A. Wells,https://www.goodreads.com/book/show/11698192-thinblade?from_search=true&from_srp=true&qid=LRq8iNdQUc&rank=1
